Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,3750.0,3750.0,3750.0,3750.0,2923.466552734375,0
2019-01-02,3750.0,3760.0,3700.0,3730.0,2907.875,31355300
2019-01-03,3710.0,3770.0,3690.0,3740.0,2915.67041015625,83842400
2019-01-04,3690.0,3740.0,3690.0,3710.0,2892.28271484375,73936900
2019-01-07,3760.0,3790.0,3750.0,3770.0,2939.058349609375,83678100
2019-01-08,3770.0,3800.0,3750.0,3800.0,2962.446044921875,67963700
2019-01-09,3820.0,3830.0,3730.0,3730.0,2907.875,98529400
2019-01-10,3760.0,3800.0,3740.0,3800.0,2962.446044921875,126396700
2019-01-11,3820.0,3860.0,3800.0,3860.0,3009.221435546875,116753700
2019-01-14,3810.0,3850.0,3790.0,3850.0,3001.425537109375,68487000
2019-01-15,3860.0,3930.0,3850.0,3930.0,3063.79296875,83464900
2019-01-16,3940.0,4000.0,3920.0,3990.0,3110.568115234375,139056700
2019-01-17,3970.0,3990.0,3960.0,3990.0,3110.568115234375,78766100
2019-01-18,4010.0,4020.0,3970.0,4020.0,3133.9560546875,76350400
2019-01-21,4040.0,4050.0,4020.0,4030.0,3141.752197265625,83317600
2019-01-22,4000.0,4010.0,3930.0,4000.0,3118.3642578125,95420500
2019-01-23,3950.0,3980.0,3920.0,3920.0,3055.997314453125,72518500
2019-01-24,3900.0,3910.0,3830.0,3860.0,3009.221435546875,118836500
2019-01-25,3880.0,3930.0,3840.0,3880.0,3024.8134765625,75844000
2019-01-28,3880.0,3890.0,3730.0,3780.0,2946.8544921875,168983100
2019-01-29,3780.0,3850.0,3780.0,3840.0,2993.6298828125,118131200
2019-01-30,3850.0,3890.0,3830.0,3860.0,3009.221435546875,85903100
2019-01-31,3900.0,3920.0,3870.0,3900.0,3040.405029296875,110953700
2019-02-01,3910.0,3930.0,3830.0,3870.0,3017.017578125,79588900
2019-02-04,3890.0,3890.0,3780.0,3780.0,2946.8544921875,70070500
2019-02-05,3780.0,3780.0,3780.0,3780.0,2946.8544921875,0
2019-02-06,3820.0,3870.0,3820.0,3860.0,3009.221435546875,72180200
2019-02-07,3890.0,3890.0,3830.0,3860.0,3009.221435546875,39141500
2019-02-08,3810.0,3850.0,3810.0,3850.0,3001.425537109375,32131700
2019-02-11,3870.0,3940.0,3860.0,3930.0,3063.79296875,88628900
