Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,3327.21533203125,3327.21533203125,3327.21533203125,3327.21533203125,2594.00390625,0
2019-01-02,3281.761474609375,3309.03369140625,3263.580078125,3281.761474609375,2558.566650390625,82441033
2019-01-03,3254.4892578125,3309.03369140625,3254.4892578125,3290.852294921875,2565.65380859375,102805905
2019-01-04,3290.852294921875,3327.21533203125,3281.761474609375,3327.21533203125,2594.00390625,125907734
2019-01-07,3363.578369140625,3372.6689453125,3327.21533203125,3327.21533203125,2594.00390625,82106628
2019-01-08,3327.21533203125,3345.396728515625,3299.943115234375,3345.396728515625,2608.1787109375,89499635
2019-01-09,3372.6689453125,3399.941162109375,3354.487548828125,3381.759765625,2636.5283203125,131331598
2019-01-10,3399.941162109375,3409.031982421875,3372.6689453125,3409.031982421875,2657.79052734375,156122176
2019-01-11,3418.122802734375,3427.213623046875,3363.578369140625,3390.8505859375,2643.6162109375,118649479
2019-01-14,3390.8505859375,3445.39501953125,3390.8505859375,3445.39501953125,2686.140380859375,126576436
2019-01-15,3427.213623046875,3445.39501953125,3399.941162109375,3436.30419921875,2679.05322265625,154948896
2019-01-16,3445.39501953125,3454.48583984375,3418.122802734375,3436.30419921875,2679.05322265625,114151831
2019-01-17,3445.39501953125,3490.848876953125,3436.30419921875,3463.576416015625,2700.315185546875,131847617
2019-01-18,3499.939453125,3499.939453125,3445.39501953125,3472.667236328125,2707.40283203125,105708085
2019-01-21,3454.48583984375,3481.758056640625,3454.48583984375,3454.48583984375,2693.22802734375,89020137
2019-01-22,3427.213623046875,3445.39501953125,3399.941162109375,3427.213623046875,2671.9658203125,131658634
2019-01-23,3418.122802734375,3463.576416015625,3390.8505859375,3427.213623046875,2671.9658203125,179807675
2019-01-24,3409.031982421875,3463.576416015625,3409.031982421875,3445.39501953125,2686.140380859375,193786497
2019-01-25,3472.667236328125,3472.667236328125,3436.30419921875,3436.30419921875,2679.05322265625,139857845
2019-01-28,3409.031982421875,3445.39501953125,3409.031982421875,3436.30419921875,2679.05322265625,102940988
2019-01-29,3436.30419921875,3472.667236328125,3318.12451171875,3354.487548828125,2615.266357421875,206378414
2019-01-30,3363.578369140625,3418.122802734375,3363.578369140625,3409.031982421875,2657.79052734375,159225000
2019-01-31,3454.48583984375,3518.12109375,3454.48583984375,3499.939453125,2728.6650390625,277698146
2019-02-01,3527.2119140625,3572.66552734375,3518.12109375,3563.57470703125,2778.27734375,154119152
2019-02-04,3590.84716796875,3590.84716796875,3536.302490234375,3545.393310546875,2764.1025390625,83552603
2019-02-05,3545.393310546875,3545.393310546875,3545.393310546875,3545.393310546875,2764.1025390625,0
2019-02-06,3563.57470703125,3581.75634765625,3554.484130859375,3563.57470703125,2778.27734375,85882773
2019-02-07,3572.66552734375,3572.66552734375,3536.302490234375,3572.66552734375,2785.364501953125,91233705
2019-02-08,3509.0302734375,3554.484130859375,3499.939453125,3536.302490234375,2757.01513671875,86321790
2019-02-11,3536.302490234375,3563.57470703125,3509.0302734375,3518.12109375,2742.84033203125,61147416
2019-02-12,3545.393310546875,3545.393310546875,3472.667236328125,3499.939453125,2728.6650390625,104459344
2019-02-13,3536.302490234375,3536.302490234375,3436.30419921875,3445.39501953125,2686.140380859375,119001265
2019-02-14,3472.667236328125,3499.939453125,3409.031982421875,3454.48583984375,2693.22802734375,131498911
2019-02-15,3490.848876953125,3490.848876953125,3409.031982421875,3427.213623046875,2671.9658203125,96513687
2019-02-18,3445.39501953125,3509.0302734375,3445.39501953125,3490.848876953125,2721.577880859375,103030419
2019-02-19,3545.393310546875,3636.30078125,3527.2119140625,3554.484130859375,2771.189697265625,153943258
2019-02-20,3554.484130859375,3581.75634765625,3509.0302734375,3536.302490234375,2757.01513671875,136475507
2019-02-21,3481.758056640625,3581.75634765625,3481.758056640625,3554.484130859375,2771.189697265625,125997166
2019-02-22,3509.0302734375,3554.484130859375,3509.0302734375,3545.393310546875,2764.1025390625,89872212
2019-02-25,3581.75634765625,3609.028564453125,3545.393310546875,3599.937744140625,2806.626708984375,117405577
