Date,Open,High,Low,Close,Adj Close,Volume
2023-07-03,110.0,112.0,109.0,112.0,112.0,1637549900
2023-07-04,112.0,112.0,108.0,109.0,109.0,1577276000
2023-07-05,109.0,110.0,107.0,109.0,109.0,1323145400
2023-07-06,108.0,112.0,108.0,112.0,112.0,1816152500
2023-07-07,111.0,112.0,108.0,108.0,108.0,1548015500
2023-07-10,108.0,109.0,107.0,108.0,108.0,906201900
2023-07-11,108.0,110.0,106.0,106.0,106.0,2241201500
2023-07-12,106.0,108.0,105.0,108.0,108.0,1657452800
2023-07-13,108.0,110.0,107.0,109.0,109.0,2486433600
2023-07-14,108.0,114.0,108.0,113.0,113.0,2787282700
2023-07-17,112.0,119.0,111.0,118.0,118.0,5259739000
2023-07-18,117.0,118.0,114.0,115.0,115.0,3676308800
2023-07-20,115.0,116.0,114.0,114.0,114.0,1291403400
2023-07-21,113.0,114.0,111.0,113.0,113.0,1724153900
2023-07-24,112.0,113.0,110.0,111.0,111.0,2390622100
2023-07-25,111.0,115.0,111.0,114.0,114.0,2132764100
2023-07-26,114.0,115.0,112.0,113.0,113.0,1549526400
2023-07-27,113.0,115.0,111.0,111.0,111.0,1293790200
2023-07-28,111.0,113.0,111.0,111.0,111.0,1045859700
2023-07-31,111.0,113.0,109.0,113.0,113.0,2236846500
2023-08-01,113.0,115.0,112.0,112.0,112.0,1685088000
2023-08-02,112.0,113.0,109.0,109.0,109.0,2203219400
2023-08-03,108.0,110.0,108.0,109.0,109.0,1560053200
2023-08-04,108.0,110.0,107.0,108.0,108.0,1223271700
2023-08-07,108.0,109.0,106.0,109.0,109.0,1725214800
2023-08-08,108.0,109.0,103.0,104.0,104.0,3338224900
2023-08-09,103.0,104.0,92.0,93.0,93.0,8576395700
2023-08-10,93.0,98.0,91.0,94.0,94.0,4564040400
2023-08-11,95.0,96.0,90.0,91.0,91.0,3487818100
2023-08-14,92.0,93.0,90.0,91.0,91.0,1782689300
2023-08-15,91.0,97.0,91.0,97.0,97.0,3623598700
2023-08-16,98.0,98.0,92.0,93.0,93.0,2982317700
2023-08-18,92.0,94.0,91.0,92.0,92.0,2036158900
2023-08-21,92.0,94.0,88.0,88.0,88.0,3285717900
2023-08-22,88.0,90.0,88.0,88.0,88.0,1829490700
2023-08-23,89.0,90.0,85.0,86.0,86.0,2971228900
2023-08-24,86.0,87.0,84.0,85.0,85.0,2139426800
2023-08-25,85.0,86.0,84.0,84.0,84.0,1891515700
2023-08-28,85.0,85.0,83.0,85.0,85.0,1258556100
2023-08-29,85.0,92.0,84.0,91.0,91.0,5895349700
